modelo;n_grupos;ruido;silueta;davies_bouldin;calinski;radio_medio_km
K-Means k=4;4;0;0.2985187091296048;1.152741709200075;2168.4537923894977;258.1680771810099
K-Means k=5;5;0;0.3161385268739583;1.1357276615337146;2210.5296035441547;241.1588383808537
K-Means k=6;6;0;0.3393021883257503;0.9922979378696785;2281.114735046674;248.3623021411161
K-Means k=7;7;0;0.33690729928971686;1.0408860662692496;2207.55198620841;220.41074342197427
K-Means k=8;8;0;0.32933167139722364;1.0917045970458523;2155.2224598977236;205.7612243819141
K-Means k=9;9;0;0.3563565763470699;1.053489154785367;2118.900854420545;216.6119702154638
K-Means k=10;10;0;0.3407764525564894;1.0905245621111461;2120.502592500327;204.7994854580493
K-Means k=11;11;0;0.36699127632897494;0.9899798129487074;2165.2331350071495;183.91662513990144
K-Means k=12;12;0;0.38266394273248094;0.927521868933653;2206.513487978486;176.30541403714807
K-Means k=13;13;0;0.4032678580962893;0.9291574150139112;2263.355113886438;182.82475088048523
K-Means k=14;14;0;0.40064860591552653;0.9363690747330614;2282.2989251537606;172.9757774005001
K-Means k=15;15;0;0.4060940567984758;0.8829083344866514;2253.6486100291327;173.5282037076281
K-Means k=16;16;0;0.4168585933649911;0.8818183674943517;2275.265256514451;163.0510691445993
K-Means k=17;17;0;0.4202652294431485;0.8860797569940848;2290.4873820822586;158.1946862318666
K-Means k=18;18;0;0.41439144873463035;0.8617230950512323;2289.4909144287194;164.1139474770836
K-Means k=19;19;0;0.4361964214093463;0.8739637977907342;2343.48230335522;148.77405090103514
K-Means k=20;20;0;0.43232259350790614;0.8686742973298017;2348.869307784159;146.92000467743054
K-Means k=21;21;0;0.4392958225099855;0.8204142332542061;2401.591553557625;150.59939352817378
K-Means k=22;22;0;0.43942910735697865;0.848304887432381;2315.286379515198;134.6653742922292
K-Means k=23;23;0;0.4470112295015074;0.8330303232298472;2426.082349411596;139.290033716829
K-Means k=24;24;0;0.443253381741805;0.8301587127393084;2432.0308223327675;136.3973394539295
K-Means k=25;25;0;0.44979398979991664;0.8174762396112222;2451.127969545553;130.118736519807
K-Means k=26;26;0;0.46289969782093626;0.8167943474205299;2565.234600529997;124.74800871673939
K-Means k=27;27;0;0.4602091646903773;0.7994573036772201;2539.6206811743077;125.15914942272683
K-Means k=28;28;0;0.460892925789238;0.8266916981063277;2577.3268497386653;121.51203966027352
K-Means k=29;29;0;0.47358174392820157;0.7732128639185155;2612.6595763568266;115.53476941800989
K-Means k=30;30;0;0.46881787873480185;0.8184249044786938;2629.1104804090164;108.01285598088482
