POLO;recursos;alt_media;regiones;region_top;jerarquia_media;diametro_km;radio_km;desnivel_m
0;44;858.5227272727273;2;Huánuco;1.6136363636363635;79.44005584716797;19.29148903026167;610.0
1;28;1532.9285714285713;1;Piura;1.1071428571428572;71.62970733642578;25.70096117755612;1100.0
2;15;3403.8;1;Cajamarca;2.0;73.18546295166016;21.305756640390662;731.0
3;20;3693.15;2;Apurímac;2.05;77.87789916992188;28.2534724671222;896.0
4;17;2298.235294117647;1;Cusco;2.176470588235294;60.161720275878906;11.16204946186988;1050.0
5;19;3576.1052631578946;1;Lima;2.4210526315789473;71.7860107421875;26.89245093497079;1074.0
6;22;257.27272727272725;2;Tumbes;1.8181818181818181;78.5859146118164;23.033785072396654;694.0
7;21;2767.7619047619046;1;Amazonas;1.7619047619047619;62.66339111328125;17.597925296080117;1091.0
8;23;3242.3478260869565;2;Áncash;1.565217391304348;67.55064392089844;19.42831663775024;1032.0
9;8;2939.75;2;Pasco;2.375;62.60147476196289;13.544867780445362;855.0
10;31;3423.064516129032;2;Ayacucho;1.1290322580645162;66.64340209960938;19.729291613912896;877.0
11;49;3862.3061224489797;1;Puno;2.326530612244898;73.07750701904297;26.791955233862385;252.0
12;7;5227.142857142857;1;Puno;1.4285714285714286;66.16093444824219;24.01610336988267;755.0
13;20;3828.8;1;Ayacucho;1.15;69.7574691772461;22.59004761982641;898.0
14;26;4870.7692307692305;1;Áncash;2.0384615384615383;49.93428039550781;14.333251418672594;1296.0
15;15;2416.3333333333335;1;Huánuco;1.5333333333333334;50.11430358886719;18.942634319123712;1045.0
16;11;1478.2727272727273;1;Puno;1.4545454545454546;58.90531539916992;17.47993167664807;901.0
17;30;3060.4;2;Ayacucho;1.2666666666666666;53.830875396728516;18.01725910012791;1062.0
18;33;2990.3333333333335;2;Apurímac;1.6666666666666667;64.44279479980469;16.355394435330755;1082.0
19;30;2910.6666666666665;2;La Libertad;1.8666666666666667;70.46450805664062;16.18972620436498;973.0
20;11;4175.636363636364;2;Tacna;1.5454545454545454;74.68473815917969;13.074257591086335;769.0
21;38;585.6842105263158;1;San Martín;1.868421052631579;66.83244323730469;14.935525398935724;809.0
22;36;3487.3888888888887;3;Huánuco;1.5;68.4706802368164;22.77264332188065;954.0
23;17;4030.823529411765;1;Arequipa;2.411764705882353;57.4666862487793;11.781718955098397;1061.0
24;20;1620.1;1;Cusco;1.0;37.833744049072266;14.504479951641974;1046.0
25;56;105.96428571428571;1;Lambayeque;1.9285714285714286;64.63246154785156;14.510122115283322;751.0
26;30;3647.6666666666665;1;Moquegua;1.0666666666666667;52.93360137939453;11.309809348866285;1063.0
27;24;471.125;1;Ica;1.75;71.64749145507812;20.65164009156641;421.0
28;34;4606.64705882353;2;Lima;2.735294117647059;66.48020935058594;14.423985346194993;833.0
29;12;4137.916666666667;2;Cusco;1.8333333333333333;76.62026977539062;18.129111349071966;354.0
30;40;4224.925;2;Pasco;2.375;70.99591064453125;16.36509546504347;801.0
31;231;119.29004329004329;3;Lima;1.6623376623376624;71.21514129638672;11.582308821158998;697.0
32;24;67.33333333333333;1;Áncash;1.375;54.61637878417969;15.680937021397312;498.0
33;137;3412.8467153284673;1;Junín;1.927007299270073;57.860382080078125;14.931419975763328;930.0
34;13;2597.3846153846152;2;Tacna;1.3846153846153846;71.21057891845703;28.754556171361425;544.0
