modelo;n_grupos;ruido;silueta;davies_bouldin;radio_medio_km
Baseline · REGIÓN;25;0;-0.04456612412904495;3.2627205851167957;72.80996227717989
Baseline · REGIÓN × CATEGORÍA;114;0;-0.37338442519712445;6.730383671025763;69.25035167626018
K-Means k=29 (elegido);29;0;0.47358174392820157;0.7732128639185155;115.53476941800989
HDBSCAN mcs=15;81;1155;0.6572539543028867;0.41855616017585634;30.180191616119558
