REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;longitud;latitud;FECHA_DE_CORTE;ALTITUD;DISTANCIA_CAPITAL_KM;INDICE_COSTO_LOGISTICO;ZONA_CLIMATICA
Piura;Sechura;SECHURA;61;Reserva Nacional Illescas;1. SITIOS NATURALES;n. Áreas Protegidas;Reservas Nacionales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=61;-81.09753973782063;-5.9744195697833975;20260831;255.0;100.83;3;Cálido / Desértico (Costa)
Piura;Sechura;VICE;62;Manglares San Pedro De Vice;1. SITIOS NATURALES;l. Costas;Manglares;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=62;-80.88067308068275;-5.545027261979392;20260831;2.0;47.67;2;Cálido / Desértico (Costa)
Piura;Sechura;VICE;63;Playa San Pablo;1. SITIOS NATURALES;l. Costas;Playas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=63;-80.94049;-5.44043;20260831;3.0;43.68;2;Cálido / Desértico (Costa)
Piura;Sechura;CRISTO NOS VALGA;66;Laguna Ñapique;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=66;-80.6909966468811;-5.5326752935872365;20260831;7.0;38.15;2;Cálido / Desértico (Costa)
Piura;Sechura;SECHURA;68;Estuario De Virrilá;1. SITIOS NATURALES;g. Cuerpo de Agua;Humedales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=68;-80.84821701049806;-5.837882172135044;20260831;4.0;75.41;2;Cálido / Desértico (Costa)
Piura;Morropon;CHULUCANAS;69;Pueblo Artesanal La Encantada;2. MANIFESTACIONES CULTURALES;Pueblos;Artesanales;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=69;-80.19854575395584;-5.093196353473787;20260831;83.0;49.39;2;Cálido / Desértico (Costa)
Piura;Paita;COLAN;70;Iglesia San Lucas De Colán;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=70;-81.05746150016786;-5.007284748778732;20260831;10.0;51.43;2;Cálido / Desértico (Costa)
Piura;Talara;LA BREA;72;Playa Punta Balcones;1. SITIOS NATURALES;l. Costas;Puntas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=72;-81.32556438446045;-4.679214286254906;20260831;0.0;95.78;3;Cálido / Desértico (Costa)
San Martín;Moyobamba;MOYOBAMBA;74;Aguas Sulfurosas De Oromina;1. SITIOS NATURALES;k. Agua termo-mineral;Ojos de agua;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=74;-77.00390741229057;-6.067984358038256;20260831;891.0;85.14;3;Templado Cálido (Yunga)
Amazonas;Bagua;ARAMANGO;85;Catarata Numparket;1. SITIOS NATURALES;j. Caídas de agua;Cataratas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=85;-78.33379;-5.493377;20260831;1881.0;96.43;3;Templado Cálido (Yunga)
Amazonas;Utcubamba;YAMON;87;Pinturas Rupestres De Yamon;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Pintura Rupestre;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=87;-78.52254614227265;-6.063139253787526;20260831;894.0;74.17;2;Tropical Húmedo (Selva)
San Martín;San Martin;SAUCE;88;Lago Sauce (Laguna Azul);1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=88;-76.21833801269531;-6.693080464804169;20260831;612.0;27.66;2;Templado Cálido (Yunga)
San Martín;San Martin;CHAZUTA;90;Cascada De Tununtunumba;1. SITIOS NATURALES;j. Caídas de agua;Cascadas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=90;-76.11749999999;-6.541111111111;20260831;321.0;27.41;2;Cálido / Desértico (Costa)
San Martín;Lamas;LAMAS;93;Cascada De Chapawanki;1. SITIOS NATURALES;j. Caídas de agua;Cascadas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=93;-76.5147098690033;-6.383540820592841;20260831;724.0;20.68;2;Templado Cálido (Yunga)
San Martín;San Martin;LA BANDA DE SHILCAYO;94;Cataratas De Ahuashiyacu;1. SITIOS NATURALES;j. Caídas de agua;Cataratas;https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=94;-76.307498;-6.453759;20260831;874.0;6.9;1;Templado Cálido (Yunga)
