REG;ZONA_CLIMATICA;recursos;lat;lon;alt
PIURA;Templado Seco (Quechua);34;-4.997473475064956;-79.55193677778267;2870.0588235294117
PUNO;Cálido / Desértico (Costa);5;-13.227438014261116;-70.01907550898439;356.8
PUNO;Frío (Suni);211;-15.661047035148915;-69.77311460074728;3857.094786729858
PUNO;Glacial / Nieve (Janca);7;-14.015560679624048;-70.5005516386296;5227.142857142857
PUNO;Muy Frío (Puna);61;-15.172420449564733;-69.93385538441629;4206.836065573771
PUNO;Templado Cálido (Yunga);18;-13.952049551078048;-69.58159606775752;1364.888888888889
PUNO;Templado Seco (Quechua);9;-13.999017489383457;-70.11529249309494;3056.0
SAN MARTÍN;Cálido / Desértico (Costa);39;-7.035357618033045;-76.58417383884832;332.1794871794872
SAN MARTÍN;Templado Cálido (Yunga);104;-6.315147609517944;-76.9341650049594;921.0384615384615
TACNA;Cálido / Desértico (Costa);7;-17.994992384554376;-70.7835168456149;129.0
TACNA;Muy Frío (Puna);7;-17.13773923439489;-70.08351095185532;4355.142857142857
TACNA;Templado Cálido (Yunga);34;-17.788395144675018;-70.35284047788991;907.6176470588235
TACNA;Templado Seco (Quechua);18;-17.40225558299963;-70.25381256223054;2932.4444444444443
TUMBES;Cálido / Desértico (Costa);55;-3.7332225782231876;-80.56062989874823;72.43636363636364
UCAYALI;Tropical Húmedo (Selva);73;-9.013219821980321;-74.457275242142;227.36986301369862
ÁNCASH;Cálido / Desértico (Costa);52;-9.56846277043199;-78.34024781998185;47.63461538461539
ÁNCASH;Frío (Suni);47;-9.309027251828356;-77.4247151211946;3766.8297872340427
ÁNCASH;Glacial / Nieve (Janca);23;-9.487492419059054;-77.3485247799637;5573.913043478261
ÁNCASH;Muy Frío (Puna);77;-9.338937659686145;-77.43993795028693;4316.116883116883
ÁNCASH;Templado Cálido (Yunga);7;-8.886442972751853;-77.79536662806939;1663.857142857143
ÁNCASH;Templado Seco (Quechua);111;-9.259983654123292;-77.44263212574238;3061.5315315315315
