CODIGO DEL RECURSO;NOMBRE DEL RECURSO;REGIÓN;latitud;longitud;ALTITUD;ZONA_CLIMATICA;CLUSTER;CLUSTER_KM
62;Manglares San Pedro De Vice;Piura;-5.545027261979392;-80.88067308068275;2.0;Cálido / Desértico (Costa);-1;1
63;Playa San Pablo;Piura;-5.44043;-80.94049;3.0;Cálido / Desértico (Costa);40;1
66;Laguna Ñapique;Piura;-5.5326752935872365;-80.6909966468811;7.0;Cálido / Desértico (Costa);-1;1
68;Estuario De Virrilá;Piura;-5.837882172135044;-80.84821701049806;4.0;Cálido / Desértico (Costa);-1;1
69;Pueblo Artesanal La Encantada;Piura;-5.093196353473787;-80.19854575395584;83.0;Cálido / Desértico (Costa);39;1
70;Iglesia San Lucas De Colán;Piura;-5.007284748778732;-81.05746150016786;10.0;Cálido / Desértico (Costa);40;1
72;Playa Punta Balcones;Piura;-4.679214286254906;-81.32556438446045;0.0;Cálido / Desértico (Costa);53;10
74;Aguas Sulfurosas De Oromina;San Martín;-6.067984358038256;-77.00390741229057;891.0;Templado Cálido (Yunga);54;21
85;Catarata Numparket;Amazonas;-5.493377;-78.33379;1881.0;Templado Cálido (Yunga);55;17
87;Pinturas Rupestres De Yamon;Amazonas;-6.063139253787526;-78.52254614227265;894.0;Tropical Húmedo (Selva);-1;1
88;Lago Sauce (Laguna Azul);San Martín;-6.693080464804169;-76.21833801269531;612.0;Templado Cálido (Yunga);-1;21
90;Cascada De Tununtunumba;San Martín;-6.541111111111;-76.11749999999;321.0;Cálido / Desértico (Costa);-1;1
93;Cascada De Chapawanki;San Martín;-6.383540820592841;-76.5147098690033;724.0;Templado Cálido (Yunga);-1;1
94;Cataratas De Ahuashiyacu;San Martín;-6.453759;-76.307498;874.0;Templado Cálido (Yunga);10;25
96;Complejo Arqueológico Chan Chan;La Libertad;-8.097624182657944;-79.0696308016777;36.0;Cálido / Desértico (Costa);4;14
99;Huaca Arco Iris ;La Libertad;-8.076912452669033;-79.04894178769683;80.0;Cálido / Desértico (Costa);4;14
100;Sitio Arqueológico De Tumshukaiko;Áncash;-9.037916222714118;-77.81460725396727;2326.0;Templado Seco (Quechua);-1;13
101;Basílica Menor Catedral De Santa María - Catedral De Trujillo;La Libertad;-8.110903949280678;-79.02834624052048;38.0;Cálido / Desértico (Costa);4;14
104;Cuento La Laguna Del Toro;La Libertad;-8.1095;-79.0335;33.0;Cálido / Desértico (Costa);4;14
109;Complejo Arqueológico El Brujo;La Libertad;-7.911121903706125;-79.30524200000002;17.0;Cálido / Desértico (Costa);-1;1
113;Casa Urquiaga O Calonge;La Libertad;-8.112335195695051;-79.02814105153084;34.0;Cálido / Desértico (Costa);4;14
114;Huacas Del Sol Y La Luna;La Libertad;-8.13636524168037;-78.99200865029718;32.0;Cálido / Desértico (Costa);4;14
115;Balneario De Huanchaco;La Libertad;-8.07869026497998;-79.1215717792511;0.0;Cálido / Desértico (Costa);4;14
118;Plaza Mayor De Trujillo;La Libertad;-8.111469;-79.028624;38.0;Cálido / Desértico (Costa);4;14
120;Museo De Arqueologia, Antropologia E Historia De La Universidad Nacional De Trujillo (Casa Risco);La Libertad;-8.1108853616314;-79.02426391839981;41.0;Cálido / Desértico (Costa);4;14
122;Museo De Sitio Chan Chan;La Libertad;-8.10011712627256;-79.0656423575274;35.0;Cálido / Desértico (Costa);4;14
125;Complejo Arqueológico De Pakatnamú;La Libertad;-7.3151;-79.5819;43.0;Cálido / Desértico (Costa);46;10
126;Campo Termal Ojo De Aguas Calientes;La Libertad;-8.093125798052004;-78.14302414655685;2966.0;Templado Seco (Quechua);49;28
127;Laguna Sausacocha;La Libertad;-7.800704039251577;-77.98433125019073;3157.0;Templado Seco (Quechua);49;28
128;Complejo Arqueológico De Marcahuamachuco;La Libertad;-7.78354;-78.0801;3561.0;Frío (Suni);49;28
130;Fiesta Patronal Del Señor De La Piedad;La Libertad;-7.97679;-78.8149;577.0;Templado Cálido (Yunga);-1;1
132;Cerro Chepén - Vía Crusis;La Libertad;-7.214511;-79.41132900000002;217.0;Cálido / Desértico (Costa);46;10
134;Iglesia Matriz De San Pedro De Lloc;La Libertad;-7.431925937088454;-79.50466050429918;45.0;Cálido / Desértico (Costa);46;10
135;El Pellón Sanpedrano;La Libertad;-7.4279;-79.5039;47.0;Cálido / Desértico (Costa);46;10
136;Playa Puémape;La Libertad;-7.51939;-79.53953;0.0;Cálido / Desértico (Costa);46;10
140;Bosque Natural El Cañoncillo ;La Libertad;-7.37232825;-79.42158891;113.0;Cálido / Desértico (Costa);46;10
141;Morro De Calzada;San Martín;-6.021409369108987;-77.03750610351568;1321.0;Templado Cálido (Yunga);54;21
143;Aguas Termales San Mateo;San Martín;-6.07481;-76.970802;953.0;Templado Cálido (Yunga);54;21
145;Danza De La Pandilla;Loreto;-3.74993;-73.2622;94.0;Tropical Húmedo (Selva);2;27
146;Danza De La Cajada;Loreto;-3.74993;-73.2622;94.0;Tropical Húmedo (Selva);2;27
147;Iglesia Matriz De Iquitos;Loreto;-3.7494471115295824;-73.2448277;104.0;Tropical Húmedo (Selva);2;27
148;Casa Morey;Loreto;-3.746774;-73.242046;98.0;Tropical Húmedo (Selva);2;27
149;Ex Colegio San Agustín;Loreto;-3.74898505882912;-73.24255010649344;103.0;Tropical Húmedo (Selva);2;27
150;Mirador De La Comunidad De Independencia - Punchana;Loreto;-3.65113;-73.23462;122.0;Tropical Húmedo (Selva);2;27
151;Parque Turístico De Quistococha;Loreto;-3.828286922895427;-73.32069396972656;93.0;Tropical Húmedo (Selva);2;27
152;Pueblo De Belén ;Loreto;-3.75788;-73.24794;107.0;Tropical Húmedo (Selva);2;27
